Date/Time,Month,Mean Temp (¬?C)
09-Mar,3,-7.3
09-Apr,4,3.7
09-May,5,9.7
09-Jun,6,14.4
09-Jul,7,17.2
09-Aug,8,16.4
09-Sep,9,15.1
09-Oct,10,1.8
09-Nov,11,1
09-Dec,12,-15.5
10-Jan,1,-9.5
10-Feb,2,-6.1
10-Mar,3,1.2
10-Apr,4,6.6
10-May,5,9
10-Jun,6,15
10-Jul,7,16.9
10-Aug,8,15.6
10-Sep,9,9.5
10-Oct,10,7.4
10-Nov,11,-4.5
10-Dec,12,-13.5
11-Jan,1,-10.7
11-Feb,2,-10.6
11-Mar,3,-8.6
11-Apr,4,3.1
11-May,5,12
11-Jun,6,13.9
11-Jul,7,16
11-Aug,8,16.2
11-Sep,9,13.5
11-Oct,10,6.3
11-Nov,11,-4
11-Dec,12,-3.1
12-Jan,1,-7
12-Feb,2,-5.9
12-Mar,3,-1.1
12-Apr,4,4.2
12-May,5,10.5
12-Jun,6,15.2
12-Jul,7,18.6
12-Aug,8,17.4
12-Sep,9,13.6
12-Oct,10,1.2
12-Nov,11,-6.9
12-Dec,12,-14.3
13-Jan,1,-7.8
13-Feb,2,-2.9
13-Mar,3,-5.6
13-Apr,4,0.7
13-May,5,13.3
13-Jun,6,14.5
13-Jul,7,16.2
13-Aug,8,17.2
13-Sep,9,14.4
13-Oct,10,6.2
13-Nov,11,-5.9
13-Dec,12,-12.8
14-Jan,1,-6.1
14-Feb,2,-14.3
14-Mar,3,-7
14-Apr,4,3.7
14-May,5,10
14-Jun,6,14.6
14-Jul,7,18.6
14-Aug,8,17.5
14-Sep,9,11.6
14-Oct,10,7.5
14-Nov,11,-6.7
14-Dec,12,-6.3
15-Jan,1,-6.8
15-Feb,2,-8.5
15-Mar,3,1.4
15-Apr,4,6.2
15-May,5,10.7
15-Jun,6,16.4
15-Jul,7,18.7
15-Aug,8,17.1
15-Sep,9,10.4
15-Oct,10,7.8
15-Nov,11,-1.6
15-Dec,12,-7.8
16-Jan,1,-8.1
16-Feb,2,-1.3
16-Mar,3,1.7
16-Apr,4,8.4
16-May,5,12
16-Jun,6,16.2
16-Jul,7,17.9
16-Aug,8,16.9
16-Sep,9,11.2
16-Oct,10,1.6
16-Nov,11,0.8
16-Dec,12,-11.7
17-Jan,1,-7.7
17-Feb,2,-10.4
17-Mar,3,-6.6
17-Apr,4,2.4
17-May,5,13.2
17-Jun,6,15.5
17-Jul,7,18.1
17-Aug,8,16.7
17-Sep,9,12.1
17-Oct,10,5.3
17-Nov,11,-6.7
17-Dec,12,-6.9
