Date,Open,High,Low,Close,Volume,Adj Close
2010-03-22,11876.64,12048.67,11843.95,11957.37,203238400,11957.37
2010-03-15,11988.40,12129.26,11908.04,11947.98,187970600,11947.98
2010-03-08,12026.34,12047.57,11893.41,12013.82,168246800,12013.82
2010-03-01,11682.78,11975.14,11629.63,11975.14,161675300,11975.14
2010-02-22,11745.11,11763.31,11420.96,11629.63,146086600,11629.63
2010-02-16,11545.50,11758.19,11469.81,11709.29,151472900,11709.29
2010-02-08,11135.10,11469.81,11099.51,11469.81,170016700,11469.81
2010-02-01,11147.49,11454.61,10990.41,11223.12,191584200,11223.12
2010-01-25,11384.74,11423.30,11084.27,11094.31,172149800,11094.31
2010-01-18,11711.12,11765.55,11318.33,11343.43,158607500,11343.43
2010-01-11,12070.74,12070.20,11684.23,11685.37,166406100,11685.37
2010-01-04,11847.34,11971.62,11746.11,11953.83,170640800,11953.83
2009-12-29,11740.37,11766.04,11672.99,11746.11,70307100,11746.11
2009-12-21,11559.63,11754.61,11463.40,11754.61,109717500,11754.61
2009-12-14,11481.62,11691.73,11423.93,11463.40,201364100,11463.40
2009-12-07,11467.52,11571.47,11248.92,11423.93,172661300,11423.93
2009-11-30,11476.32,11816.33,11414.87,11510.80,197011900,11510.80
2009-11-23,11689.36,11737.84,11299.86,11464.41,138818700,11464.41
2009-11-16,11496.76,11702.24,11407.68,11579.33,185230600,11579.33
2009-11-09,11372.21,11559.67,11250.42,11407.68,171448300,11407.68
2009-11-02,10896.74,11259.58,10745.25,11250.42,195896800,11250.42
2009-10-26,11426.29,11525.82,10767.58,10910.75,207564200,10910.75
2009-10-19,11566.78,11595.04,11357.78,11382.13,174962000,11382.13
2009-10-13,11423.27,11539.17,11299.60,11504.76,178867800,11504.76
2009-10-05,10975.68,11513.13,10932.15,11436.92,208432000,11436.92
2009-09-28,11269.36,11458.50,10855.16,10958.33,198077000,10958.33
2009-09-21,11348.13,11648.55,11174.61,11212.39,191925700,11212.39
2009-09-14,11174.66,11613.83,11167.35,11445.95,245698200,11445.95
2009-09-08,11147.87,11283.31,10966.23,11253.23,219062400,11253.23
2009-08-31,10866.20,11017.47,10634.83,11017.47,206319700,11017.47
2009-08-24,10865.41,11010.95,10747.18,10977.97,171988600,10977.97
2009-08-17,10576.97,10848.01,10480.18,10831.18,162197800,10831.18
2009-08-10,10833.28,10885.33,10587.67,10848.01,162718200,10848.01
2009-08-04,10943.30,11065.40,10787.15,10885.33,219570600,10885.33
2009-07-27,10727.12,10841.54,10384.64,10787.15,176835500,10787.15
2009-07-20,10478.53,10717.75,10369.42,10687.90,179215500,10687.90
2009-07-13,9733.74,10404.27,9588.44,10369.42,168754900,10369.42
2009-07-06,10115.00,10283.10,9535.50,9747.13,185523100,9747.13
2009-06-29,10455.37,10528.49,10217.13,10283.10,135606500,10283.10
2009-06-22,10105.70,10423.57,9727.26,10389.76,208910000,10389.76
2009-06-15,10581.84,10644.96,10005.36,10287.95,235348500,10287.95
2009-06-08,10466.70,10726.01,10380.76,10644.96,213942100,10644.96
2009-06-01,10530.80,10637.73,10235.39,10569.29,237847200,10569.29
2009-05-25,10004.78,10493.12,9971.58,10370.07,219494500,10370.07
2009-05-19,10037.74,10365.39,9762.85,9993.42,225873400,9993.42
2009-05-11,10069.52,10237.99,9683.13,9762.85,239021800,9762.85
2009-05-04,9604.59,10340.78,9496.96,10237.99,262948200,10237.99
2009-04-27,9345.88,9568.32,9273.80,9496.96,214964500,9496.96
2009-04-20,9324.42,9566.68,9014.08,9549.48,238805600,9549.48
2009-04-13,9142.15,9483.58,9114.87,9437.65,228220800,9437.65
2009-04-06,8963.77,9187.12,8782.69,9187.12,214678800,9187.12
2009-04-01,8647.56,9140.12,8617.28,9065.76,261243000,9065.76
